Unnamed: 0,Time [s],Minimum [MPa],Maximum [MPa],Average [MPa]
1,0.0,0,0.0,0.0
2,0.00099991,0,0.0,0.0
3,0.002,0,0.0,0.0
4,0.003,0,0.0,0.0
5,0.0039999,0,0.0,0.0
6,0.005,0,0.0,0.0
7,0.0059999,0,0.0,0.0
8,0.0069999,0,10.502,0.019611
9,0.008,0,11.909,0.014112
10,0.0089999,0,21.812,0.14811
11,0.0099999,0,19.115,0.18585
12,0.011,0,7.8536,0.02272
13,0.012,0,0.076402,8.2745e-05
14,0.013,0,0.010103,1.1701e-05
15,0.014,0,0.011043,1.2942e-05
16,0.015,0,0.080439,5.922e-05
17,0.016,0,0.047497,4.0615e-05
18,0.017,0,0.2435,0.00020526
19,0.018,0,0.12294,8.1345e-05
20,0.019,0,0.016096,2.2481e-05
21,0.02,0,0.015627,3.3914e-05
22,0.02,0,0.015627,3.3914e-05
