Unnamed: 0,Time [s],Minimum [MPa],Maximum [MPa],Average [MPa]
1,0.0,0,0.0,0.0
2,0.00099988,0,0.0,0.0
3,0.0019999,0,0.0,0.0
4,0.0029999,0,0.0,0.0
5,0.0039999,0,0.0,0.0
6,0.005,0,0.0,0.0
7,0.0059999,0,0.0,0.0
8,0.0069999,0,10.097,0.019125
9,0.0079999,0,14.091,0.019232
10,0.009,0,24.466,0.17685
11,0.0099999,0,22.686,0.2097
12,0.011,0,7.972,0.023242
13,0.012,0,0.19958,0.00019065
14,0.013,0,0.009089,1.3831e-05
15,0.014,0,0.12126,9.5996e-05
16,0.015,0,0.18504,0.00015594
17,0.016,0,0.11042,0.00011466
18,0.017,0,0.0035901,9.84e-06
19,0.018,0,0.010324,1.2357e-05
20,0.019,0,0.11058,7.0449e-05
21,0.02,0,0.012443,1.5648e-05
22,0.02,0,0.012443,1.5648e-05
