Unnamed: 0,Time [s],Minimum [MPa],Maximum [MPa],Average [MPa]
1,0.0,0,0.0,0.0
2,0.00099983,0,0.0,0.0
3,0.0019999,0,0.0,0.0
4,0.0029998,0,0.0,0.0
5,0.0039998,0,0.0,0.0
6,0.005,0,0.0,0.0
7,0.006,0,0.0,0.0
8,0.0069999,0,7.523,0.015998
9,0.0079998,0,4.9387,0.0080629
10,0.0089998,0,13.502,0.10869
11,0.0099999,0,25.797,0.20613
12,0.011,0,2.7206,0.0070481
13,0.012,0,0.0054558,1.5336e-05
14,0.013,0,0.010332,1.7599e-05
15,0.014,0,0.078392,5.6245e-05
16,0.015,0,0.0060473,1.0393e-05
17,0.016,0,0.01106,1.5006e-05
18,0.017,0,0.0062996,8.2215e-06
19,0.018,0,0.0068351,1.2359e-05
20,0.019,0,0.0031602,7.2193e-06
21,0.02,0,0.007321,8.5384e-06
22,0.02,0,0.007321,8.5384e-06
