Unnamed: 0,Time [s],Minimum [MPa],Maximum [MPa],Average [MPa]
1,0.0,0,0.0,0.0
2,0.00099997,0,0.0,0.0
3,0.0019999,0,0.0,0.0
4,0.0029999,0,0.0,0.0
5,0.004,0,0.0,0.0
6,0.005,0,0.0,0.0
7,0.006,0,0.0,0.0
8,0.0069999,0,11.817,0.021868
9,0.0079999,0,8.473,0.0093022
10,0.0089999,0,26.366,0.15966
11,0.0099999,0,25.41,0.19397
12,0.011,0,12.294,0.038081
13,0.012,0,0.01039,1.6244e-05
14,0.013,0,0.2532,0.00022906
15,0.014,0,0.0050511,1.5624e-05
16,0.015,0,0.0039218,1.0603e-05
17,0.016,0,0.0019291,5.4315e-06
18,0.017,0,0.00081529,1.0487e-06
19,0.018,0,0.13243,6.6792e-05
20,0.019,0,0.0084798,1.497e-05
21,0.02,0,0.0065188,1.4156e-05
22,0.02,0,0.0065188,1.4156e-05
